"IMAGE #
",WILD LIFE (INCLUDING HUMANS) VISIBLE?,NOTES
1,No,-
2,No,-
3,No,-
4,No,-
5,No,-
6,No,-
7,No,-
8,No,-
9,No,-
10,No,-
11,No,-
12,No,-
13,No,-
14,No,-
15,No,-
16,No,-
17,No,-
18,No,-
19,No,-
20,No,-
21,No,-
22,No,-
23,No,-
24,No,-
25,No,-
26,No,-
27,No,-
28,No,-
29,No,-
30,No,-
31,No,-
32,No,-
33,No,-
34,No,-
35,No,-
36,No,-
37,No,-
38,No,-
39,No,-
40,No,-
41,No,-
42,No,-
43,No,--
44,No,-
45,No,-
46,Yes,A human walking
47,No,-
48,No,-
49,No,-
50,No,-
51,No,-
52,No,-
53,No,-
54,No,-
55,No,-
56,Yes,A human in their car
57,No,-
58,Yes,A human on their car's dirving seat
59,No,-
60,No,-
61,No,-
62,No,-
63,No,-
64,No,-
65,No,-
66,No,-
67,No,-
68,No,-
69,No,-
70,No,-
71,No,-
72,No,-
73,No,-
74,No,-
75,No,-
76,No,-
77,No,-
78,No,-
79,No,-
80,No,-
81,No,-
82,No,-
83,No,-
84,No,-
85,No,-
86,No,-
87,No,-
88,No,-
89,No,-
90,No,--
91,No,-
92,No,-
93,No,-
94,No,-
95,No,-
96,Yes,A human standing behind a tree
97,No,-
98,No,-
99,No,-
100,No,-
101,No,-
102,No,-
103,Yes,Possibly another bird/ duck
104,No,-
105,No,-
106,No,-
107,Yes,A human sitting on a bench
108,No,-
109,No,-
110,No,-
111,No,-
112,No,-
113,No,-
114,No,-
115,No,-
116,No',-
117,No,-
118,No,-
119,No,-
120,No,-
121,No,"Unclear tall structure, possibly tree with shadow/foliage pattern"
122,No,-
123,No,-
124,No,-
125,No,-
126,No,-
127,No,-
128,Yes,Some human legs appears in the upper left corner
129,No,-
130,No,-
131,No,-
132,No,-
133,No,-
134,No,-
135,No,-
136,No,-
137,No,-
138,No,-
139,No,-
140,No,-
141,No,-
142,No,-
143,No,-
144,No,-
145,Yes,A human standing beside their car
146,No,-
147,No,-
148,No,-
149,No,-
150,No,-
151,No,-
152,No,-
153,No,-
154,No,-
155,No,-
156,No,-
157,No,-
158,No,-
159,No,-
160,Yes,Some people sitting in the background
161,Yes,-
162,No,-
163,No,-
164,No,-
165,No,-
166,No,-
167,No,-
168,No,-
169,No,-
170,No,-
171,No,-
172,No,-
173,No,-
174,No,-
175,No,-
176,No,-
177,No,-
17,No,-
179,No,-
180,No,Possibly another bird/ duck
182,Yes,A human in their car
182,No,-
183,No,-
184,No,-
185,No,-
186,No,-
187,No,-
188,No,-
189,No,-
190,No,-
191,No,-
192,No,-
193,No,-
194,No,-
195,No,-
196,No,-
197,No,-
198,No,-
199,No,-

200,No,-



This project analyzed camera trap images to identify the presence of birds/ wildlife creatures. Volunteers classify images and contribute to shaping coastal science.Findings from this project will provide valuable insights into bird habitat usage and the effectiveness of living shorelines. Observations have been recorded on 200 images in this project.


METHODS:
For each image, I recorded whether any human, birds or wildlife creature was present. I used google sheets to tally and create the chart.

RESULTS: 
No birds were detected in this batch. This confirms low activity in camera trap location during the monitored period.11 images contained humans—possibly park visitors.


SUMMARY:
Category                           Count                                % of total

Bird/ Wildlife Visible           5                                           2.5% 

No Wildlife Visible                 195                                           95.5%                                         
 


Conclusion: 
The lack of bird visibility could be:
Non-bird-centric project
Seasonal or migratory timing
Camera placement
Birds in motion
Camouflage and scale
Poor visibility

Even the absence of bird visibility provides researchers important data about when and where birds aren’t present. It also showcases how often human activity can be captured. This project demonstrates how community science can support wildlife research.
